Id,Name,Name (Bangla),Code,Agency,Type,Division,District,City Corporation,Upazila,Paurasava,Union,Private
24270,"PWID (Shongi-13) - Kathalbagan Outlet, SCI","PWID (Shongi-13) - Kathalbagan Outlet, SCI",10024682,,Other,Dhaka,Dhaka,Dhaka North City Corperation,Tejgaon,,,1
24271,"DIC (Shongi-03) Khilgaon PWID, SCI","ডিআইসি (শংগী -০৩) খিলগাঁও পিডব্লিউআইডি, এসসিআই",10024683,,Other,Dhaka,Dhaka,,,,,1
24272,"DIC (Shongi-06) Moulavibazar PWID, SCI","ডিআইসি (শংগী -০৬) মৌলভীবাজার পিডব্লিউআইডি, এসসিআই",10024684,,Other,Dhaka,Dhaka,Dhaka South City Corporation,Kotwali,,,1
24273,"DIC (Shongi-05) Nayabazar-Female PWID, SCI","ডিআইসি (শংগী -০৫) নয়াবাজার-মহিলা পিডব্লিউআইডি, এসসিআই",10024685,,Other,Dhaka,Dhaka,Dhaka South City Corporation,Bangshal,,,1
24274,"DIC (Shongi-15) Nayabazar-Male PWID, SCI","ডিআইসি (শংগী -১৫) নায়াবাজার-পুরুষ পিডব্লিউআইডি, এসসিআই",10024686,,Other,Dhaka,Dhaka,Dhaka South City Corporation,Bangshal,,,1
24275,"PWID (Shongi-01) - Racecourse Outlet, SCI","PWID (Shongi-01) - Racecourse Outlet, SCI",10024687,,Other,Chattogram,Cumilla,,,,,1
24276,"PWID (Shongi-19) - Mohishbathan Outlet, SCI","PWID (Shongi-19) - Mohishbathan Outlet, SCI",10024688,,Other,Rajshahi,Rajshahi,,,,,1
24277,"PWID (Shongi-14) - Rampura Outlet, SCI","PWID (Shongi-14) - Rampura Outlet, SCI",10024689,,Other,Dhaka,Dhaka,Dhaka North City Corperation,Rampura,,,1
24278,"DIC (Shongi-04) Sadarghat PWID, SCI","ডি.আই.সি. (শংগী -০৪) সদরঘাট পিডব্লিউআইডি, এসসিআই",10024690,,Other,Dhaka,Dhaka,Dhaka South City Corporation,Kotwali,,,1
24279,"DIC (Shongi-10) SK Das PWID, SCI","ডিআইসি (শংগী -১০) এস কে দাস পিডব্লিউআইডি, এসসিআই",10024691,,Other,Dhaka,Dhaka,,,,,1
24280,"PWID (Shongi-18) - Tongi Outlet, SCI","PWID (Shongi-18) - Tongi Outlet, SCI",10024692,,Other,Dhaka,Gazipur,,,,,1
24281,"DIC (Swajan-17) Airport FSW, SCI","ডিআইসি (স্বজন-১৭) বিমানবন্দর এফএসডব্লিউ, এসসিআই",10024693,,Other,Dhaka,Dhaka,,,,,1
24282,"DIC (Swajan-22) Ambarkhana FSW, SCI","ডিআইসি (স্বজন -২২) অম্বারখানা এফএসডব্লিউ, এসসিআই",10024694,,Other,Sylhet,Sylhet,Sylhet N/A,Sylhet Sadar,,,1
24283,"DIC (Swajan-27) Benapole FSW, SCI","ডিআইসি (স্বজন -২৭) বেনাপোল এফএসডব্লিউ, এসসিআই",10024695,,Other,Khulna,Jashore,,,,,1
24284,"DIC (Swajan-12) Chankherpool FSW, SCI","ডিআইসি (স্বজন -১২) চানথারপুল এফএসডব্লিউ, এসসিআই",10024696,,Other,Dhaka,Dhaka,Dhaka South City Corporation,Wari,,,1
24285,"DIC (Swajan-05) Comilla FSW, SCI","ডিআইসি (স্বজন -০৫) কুমিল্লা এফএসডব্লিউ, এসসিআই",10024697,,Other,Chattogram,Cumilla,Cumilla N/A,Laksam,,,1
24286,"DIC (Swajan-02) Coxs Bazar FSW, SCI","ডিআইসি (স্বজন -০২) কক্সবাজার এফএসডব্লিউ, এসসিআই",10024698,,Other,Chattogram,Cox's Bazar,Cox's Bazar N/A,Cox's Bazar Sadar,,,1
24287,"DIC (Swajan-16) Dholaipar FSW, SCI","ডিআইসি (স্বজন -১৬) ধোলাইপাড়ার এফএসডব্লিউ, এসসিআই",10024699,,Other,Dhaka,Dhaka,Dhaka South City Corporation,Jatrabari,,,1
24289,"DIC (Swajan-28) Dinajpur FSW, SCI","ডিআইসি (স্বজন -২৮) দিনাজপুর এফএসডব্লিউ, এসসিআই",10024701,,Other,Rangpur,Dinajpur,Dinajpur N/A,Dinajpur Sadar,,,1
24290,"DIC (Swajan-10) Fokirapool FSW, SCI","ডিআইসি (স্বজন -১০) ফকিরপুল এফএসডব্লিউ, এসসিআই",10024702,,Other,Dhaka,Dhaka,Dhaka South City Corporation,Paltan,,,1
24291,"DIC (Swajan-20) Gazipur FSW, SCI","ডিআইসি (স্বজন -২০) গাজীপুর এএসএসডব্লিউ, এসসিআই",10024703,,Other,Dhaka,Gazipur,Gazipur City Corporation,Gazipur Sadar,,,1
24292,"DIC (Swajan-04) Halishahar FSW, SCI","ডি আই সি (স্বজন -০৪) হালিশহর এফএসডব্লিউ, এসসিআই",10024704,,Other,Chattogram,Chattogram,Chattogram City Corporation,Halishahar,,,1
24293,"DIC (Swajan-29) Hili FSW, SCI","ডিআইসি (স্বজন -২৯) হিলি এফএসডব্লিউ, এসসিআই",10024705,,Other,Rangpur,Dinajpur,Dinajpur N/A,Hakimpur,,,1
24294,"DIC (Swajan-08) Ibrahimpur FSW, SCI","ডিআইসি (স্বজন -০৮) ইব্রাহিমপুর এফএসডব্লিউ, এসসিআই",10024706,,Other,Dhaka,Dhaka,Dhaka North City Corperation,Kafrul,,,1
24295,"DIC (Swajan-26) Jessore FSW, SCI","ডিআইসি (স্বজন -২৬) যশোর এফএসডব্লিউ, এসসিআই",10024707,,Other,Khulna,Jashore,Jashore N/A,Abhaynagar,,,1
24296,"DIC (Swajan-23) Kadamtali FSW, SCI","ডি.আই.সি. (স্বজন -২৩) কদমতলী এফএসডব্লিউ, এসসিআই",10024708,,Other,Sylhet,Sylhet,,,,,1
24297,"DIC (Swajan-13) Kamrangirchor FSW, SCI","ডি.আই.সি. (স্বজন -১৩) কামরঙ্গিরচার এফএসডব্লিউ, এসসিআই",10024709,,Other,Dhaka,Dhaka,Dhaka South City Corporation,Kamrangir Char,,,1
24298,"DIC (Swajan-15) Keraniganj FSW, SCI","ডিআইসি (স্বজন -১৫) কেরানীগঞ্জ এফএসডব্লিউ, এসসিআই",10024710,,Other,Dhaka,Dhaka,Dhaka N/A,Keraniganj,,,1
24299,"DIC (Swajan-18) Khilgaon FSW, SCI","ডিআইসি (স্বজন -১৮) খিলগাঁও এফএসডব্লিউ, এসসিআই",10024711,,Other,Dhaka,Dhaka,Dhaka South City Corporation,Khilgaon,,,1
24301,"DIC (Swajan-25) Khulna FSW, SCI","ডিআইসি (স্বজন -২৫) খুলনা এফএসডব্লিউ, এসসিআই",10024713,,Other,Khulna,Khulna,Khulna City Corporation,Sonadanga,,,1
24302,"DIC (Swajan-11) Lalbagh FSW, SCI","ডিআইসি (স্বজন -১১) লালবাগ এফএসডব্লিউ, এসসিআই",10024714,,Other,Dhaka,Dhaka,Dhaka South City Corporation,Lalbag,,,1
24303,"DIC (Swajan-14) Mohammodpur FSW, SCI","ডিআইসি (স্বজন -১৪) মোহমোদপুর এফএসডব্লিউ, এসসিআই",10024715,,Other,Dhaka,Dhaka,Dhaka North City Corperation,Mohammadpur,,,1
24304,"DIC (Swajan-09) Nakhalpara FSW, SCI","ডিআইসি (স্বজন -০৯) নাখালপাড়া এফএসডব্লিউ, এসসিআই",10024716,,Other,Dhaka,Dhaka,Dhaka North City Corperation,Tejgaon,,,1
24305,"DIC (Swajan-06) Narayangonj FSW, SCI","ডিআইসি (স্বজন -০৬) নারায়নগঞ্জ এফএসডব্লিউ, এসসিআই",10024717,,Other,Dhaka,Narayanganj,Narayanganj City Corporation,Narayanganj Sadar,,,1
24306,"DIC (Swajan-07) Pallabi FSW, SCI","ডিআইসি (স্বজন -০৭) পল্লবী এফএসডব্লিউ, এসসিআই",10024718,,Other,Dhaka,Dhaka,Dhaka North City Corperation,Pallabi,,,1
24307,"DIC (Swajan-03) Potenga FSW, SCI","ডিআইসি (স্বজন -০৩) পটেঙ্গা এফএসডব্লিউ, এসসিআই",10024719,,Other,Chattogram,Chattogram,Chattogram City Corporation,Patenga,,,1
24308,"DIC (Swajan-24) Satkhira FSW, SCI","ডিআইসি (স্বজন -২৪) সাতক্ষীরা এফএসডব্লিউ, এসসিআই",10024720,,Other,Khulna,Satkhira,Satkhira N/A,Satkhira Sadar,,,1
24309,"DIC (Swajan-19) Savar FSW, SCI","ডিআইসি (স্বজন -১৯) সাভার এফএসডব্লিউ, এসসিআই",10024721,,Other,Dhaka,Dhaka,Dhaka N/A,Savar,,,1
24310,"DIC (Swajan-21) Tangail FSW, SCI","ডিআইসি (স্বজন -২১) টাঙ্গাইল এফএসডব্লিউ, এসসিআই",10024722,,Other,Dhaka,Tangail,Tangail N/A,Tangail Sadar,,,1
24311,"DIC (Swajan-01) Teknaf FSW, SCI","ডিআইসি (স্বজন -০১) টেকনাফে এফএসডব্লিউ, এসসিআই",10024723,,Other,Chattogram,Cox's Bazar,Cox's Bazar N/A,Teknaf,,,1
24312,"Betheni Para Zalin Karbari Community Clinic , Bandarban Sadar","বেথ্যানী পাড়া জালিন কারবারী কমিউনিটি ক্লিনিক, বান্দরবান সদর।",10024724,DGHS,Community Clinic,Chattogram,Bandarban,Bandarban N/A,Bandarban Sadar,Unions Of Bandarban Sadar Upazila,Suwalak,0
24313,"Korang Bazar Menwari Community Clinic , Bandarban Sadar","কোরাং বাজার মেনওয়াই কমিউনিটি ক্লিনিক, বান্দরবান সদর।",10024725,DGHS,Community Clinic,Chattogram,Bandarban,Bandarban N/A,Bandarban Sadar,Unions Of Bandarban Sadar Upazila,Tankabati,0
24314,"Khudrokathi Community Clinic , Babuganj","ক্ষুদ্রকাঠী কমিউনিটি ক্লিনিক, বাবুগঞ্জ।",10024726,DGHS,Community Clinic,Barishal,Barishal,Barishal N/A,Babuganj,Unions Of Babuganj Upazila,Rahmatpur,0
24315,"Islampur Community Clinic , Babuganj",ইসলামপুর কমিউনিটি ক্লিনিক,10024727,DGHS,Community Clinic,Barishal,Barishal,Barishal N/A,Babuganj,Unions Of Babuganj Upazila,Jahangir Nagar(agarpur),0
24316,"Lutfunnahar Community Clinic , Madan","লুৎফুন্নাহার কমিউনিটি ক্লিনিক, মদন।",10024728,DGHS,Community Clinic,Mymensingh,Netrakona,Netrakona N/A,Madan,Unions Of Madan Upazila,Chandgaon,0
24317,"Saburanassa Khan Community Clinic , Madan","সবুরেন্নেছা খান  কমিউনিটি ক্লিনিক, মদন।",10024729,DGHS,Community Clinic,Mymensingh,Netrakona,Netrakona N/A,Madan,Unions Of Madan Upazila,Gobindasree,0
24318,"Jahajmara Community Clinic , Subarnachar","জাহাজমারা কমিউনিটি ক্লিনিক, সুবর্ণচর।",10024730,DGHS,Community Clinic,Chattogram,Noakhali,Noakhali N/A,Subarnachar,Unions Of Subarnachar Upazila,Char Jabbar,0
24319,"Dhakhin  Charmozid Community Clinic , Subarnachar","দক্ষিণ চরমজিদ কমিউনিটি ক্লিনিক, সুবর্ণচর।",10024731,DGHS,Community Clinic,Chattogram,Noakhali,Noakhali N/A,Subarnachar,Unions Of Subarnachar Upazila,Char Bata,0
24320,"Dhakhin  Charziauddin Community Clinic , Subarnachar","দক্ষিণ চরজিয়াউদ্দিন কমিউনিটি ক্লিনিক, সুবর্ণচর।",10024732,DGHS,Community Clinic,Chattogram,Noakhali,Noakhali N/A,Subarnachar,Unions Of Subarnachar Upazila,Char Jubille,0
24321,"Purba Charbata Community Clinic , Subarnachar","পূর্ব চরবাটা কমিউনিটি ক্লিনিক, সুবর্ণচর।",10024733,DGHS,Community Clinic,Chattogram,Noakhali,Noakhali N/A,Subarnachar,Unions Of Subarnachar Upazila,Char Bata,0
24322,"Charlaxmi Community Clinic , Subarnachar","চর লক্ষী কমিউনিটি ক্লিনিক, সুবর্ণচর।",10024734,DGHS,Community Clinic,Chattogram,Noakhali,Noakhali N/A,Subarnachar,Unions Of Subarnachar Upazila,Mohammadpur,0
24323,"Kulkandi Community Clinic , Islampur","কুলকান্দী কমিউনিটি ক্লিনিক, ইসলামপুর।",10024735,DGHS,Community Clinic,Mymensingh,Jamalpur,Jamalpur N/A,Islampur,Unions Of Islampur Upazila,Kulkandi,0
24324,"Chandanpur Community Clinic , Islampur","চন্দনপুর কমিউনিটি ক্লিনিক, ইসলামপুর।",10024736,DGHS,Community Clinic,Mymensingh,Jamalpur,Jamalpur N/A,Islampur,Unions Of Islampur Upazila,Gaibandha,0
24325,"Paschim ,Gongapara Community Clinic , Islampur","পশ্চিম গঙ্গাপাড়া কমিউনিটি ক্লিনিক, ইসলামপুর।",10024737,DGHS,Community Clinic,Mymensingh,Jamalpur,Jamalpur N/A,Islampur,Unions Of Islampur Upazila,Islampur,0
24326,"Garamtola Community Clinic , Baniachong","গরমতলা কমিউনিটি ক্লিনিক, বানিয়াচং।",10024738,DGHS,Community Clinic,Sylhet,Habiganj,Habiganj N/A,Baniachong,Unions Of Baniachong Upazila,Uttar Purba Baniachang,0
24327,"Banmothura Community Clinic , Baniachong","বনমথুরা কমিউনিটি ক্লিনিক, বানিয়াচং।",10024739,DGHS,Community Clinic,Sylhet,Habiganj,Habiganj N/A,Baniachong,Unions Of Baniachong Upazila,Dakshin Purba Baniyachang,0
24328,"Hyderpur Community Clinic , Baniachong","হায়দারপুর কমিউনিটি ক্লিনিক, বানিয়াচং।",10024740,DGHS,Community Clinic,Sylhet,Habiganj,Habiganj N/A,Baniachong,Unions Of Baniachong Upazila,Kagapasha,0
24329,"Mardanpur Community Clinic , Baniachong","মর্দনপুর কমিউনিটি ক্লিনিক, বানিয়াচং।",10024741,DGHS,Community Clinic,Sylhet,Habiganj,Habiganj N/A,Baniachong,Unions Of Baniachong Upazila,Muradpur,0
24330,"Tolatali Community Clinic , Daudkandi","তুলাতলী কমিউনিটি ক্লিনিক, দাউদকান্দি।",10024742,DGHS,Community Clinic,Chattogram,Cumilla,Cumilla N/A,Daudkandi,Unions Of Daudkandi Upazila,Panchgachhia Paschim,0
24331,"Kajirgaon Community Clinic , Sonargaon","কাজীরগাঁও কমিউনিটি ক্লিনিক, সোনারগাঁও।",10024743,DGHS,Community Clinic,Dhaka,Narayanganj,Narayanganj N/A,Sonargaon,Unions Of Sonargaon Upazila,Mugra Para,0
24332,"Meghna Shilponagari  Community Clinic , Sonargaon","মেঘনা শিল্পনগরী কমিউনিটি ক্লিনিক, সোনারগাঁও।",10024744,DGHS,Community Clinic,Dhaka,Narayanganj,Narayanganj N/A,Sonargaon,Unions Of Sonargaon Upazila,Pirijpur,0
24333,"Nanakhi Community Clinic , Sonargaon","নানাক্ষি কমিউনিটি ক্লিনিক, সোনারগাঁও।",10024745,DGHS,Community Clinic,Dhaka,Narayanganj,Narayanganj N/A,Sonargaon,Unions Of Sonargaon Upazila,Sadipur,0
24334,Bhedarganj Mun.,ভেদরগঞ্জ মিউনিসিপ্যালিটি,10024746,,Upazila Level Office,Dhaka,Shariatpur,Shariatpur N/A,Bhedarganj,Bhedarganj Paurashava,,0
24335,Goshairhat Mun.,গোসাইরহাট মিউনিসিপ্যালিটি,10024747,,Upazila Level Office,Dhaka,Shariatpur,Shariatpur N/A,Gosairhat,,,0
24336,Zanjiza Mun.,জাজিরা মিউনিসিপ্যালিটি,10024748,,Upazila Level Office,Dhaka,Shariatpur,Shariatpur N/A,Zanjira,Zanjira Paurashava,,0
24337,Naria Mun.,নড়িয়া মিউনিসিপ্যালিটি,10024749,,Upazila Level Office,Dhaka,Shariatpur,Shariatpur N/A,Naria,Naria Paurashava,,0
24338,Araihazar Mun.,আড়াইহাজার মিউনিসিপ্যালিটি,10024750,,Upazila Level Office,Dhaka,Narayanganj,Narayanganj N/A,Araihazar,Araihazar Paurashava,,0
24339,Gopaldi Mun.,গোপালদি মিউনিসিপ্যালিটি,10024751,,Upazila Level Office,Dhaka,Narayanganj,Narayanganj N/A,Sonargaon,Sonargaon Paurashava,,0
24340,Kanchan Mun.,কাঞ্চন মিউনিসিপ্যালিটি,10024752,,Upazila Level Office,Dhaka,Narayanganj,Narayanganj N/A,Rupganj,Kanchan Paurashava,,0
24341,Sonargaon Mun.,সোনারগাঁ মিউনিসিপ্যালিটি,10024753,,Upazila Level Office,Dhaka,Narayanganj,Narayanganj N/A,Sonargaon,Sonargaon Paurashava,,0
24342,Bajitpur Mun.,বাজিতপুর মিউনিসিপ্যালিটি,10024754,,Upazila Level Office,Dhaka,Kishoreganj,Kishoreganj N/A,Bajitpur,Bajitpur Paurashava,,0
24343,Hossainpur Mun.,হোসনপুর মিউনিসিপ্যালিটি,10024755,,Upazila Level Office,Dhaka,Kishoreganj,Kishoreganj N/A,Hossainpur,Hossainpur Paurashava,,0
24344,Karimganj Mun.,করিমগঞ্জ মিউনিসিপ্যালিটি,10024756,,Upazila Level Office,Dhaka,Kishoreganj,Kishoreganj N/A,Karimganj,Karimganj Paurashava,,0
24345,Kishoreganj Mun.,কিশোরগঞ্জ মিউনিসিপ্যালিটি,10024757,,Upazila Level Office,Dhaka,Kishoreganj,Kishoreganj N/A,Kishoreganj Sadar,Kishoreganj Paurashava,,0
24346,Katiadi Mun.,কটিয়াদি মিউনিসিপ্যালিটি,10024758,,Upazila Level Office,Dhaka,Kishoreganj,Kishoreganj N/A,Katiadi,Katiadi Paurashava,,0
24347,Kuliar Char Mun.,কুলিয়ারচর মিউনিসিপ্যালিটি,10024759,,Upazila Level Office,Dhaka,Kishoreganj,Kishoreganj N/A,Kuliarchar,Kuliar Char Paurashava,,0
24348,Pakundia Mun.,পাকুন্দিয়া মিউনিসিপ্যালিটি,10024760,,Upazila Level Office,Dhaka,Kishoreganj,Kishoreganj N/A,Pakundia,Pakundia Paurashava,,0
24349,Singair Mun.,সিঙ্গাইর মিউনিসিপ্যালিটি,10024761,,Upazila Level Office,Dhaka,Manikganj,Manikganj N/A,Singair,Singair Paurashava,,0
24350,Bagherpara Mun.,Bagherpara Mun.,10024762,,Upazila Level Office,Khulna,Jashore,Jashore N/A,Bagherpara,Bagher Para Paurasava,,0
24351,Chaugachha Mun.,Chaugachha Mun.,10024763,,Upazila Level Office,Khulna,Jashore,Jashore N/A,Chaugacha,Chaugachha Paurasava,,0
24352,Jhekargachha Mun.,Jhekargachha Mun.,10024764,,Upazila Level Office,Khulna,Jashore,Jashore N/A,Jhikargacha,Jhikargachha Paurasava,,0
24353,Monirampur Mun.,Monirampur Mun.,10024765,,Upazila Level Office,Khulna,Jashore,Jashore N/A,Monirampur,Manirampur Paurasava,,0
24354,Harinakunda Mun.,Harinakunda Mun.,10024766,,Upazila Level Office,Khulna,Jhenaidah,Jhenaidah N/A,Harinakunda,Harinakunda Paurashava,,0
24355,Chalna Mun.,Chalna Mun.,10024767,,Upazila Level Office,Khulna,Khulna,Khulna N/A,Dacope,Chalna Paurasava,,0
24356,Kalaroa Mun.,Kalaroa Mun.,10024768,,Upazila Level Office,Khulna,Satkhira,Satkhira N/A,Kalaroa,Kalaroa Paurasava,,0
24357,Bheramara Mun.,Bheramara Muin.,10024769,,Upazila Level Office,Khulna,Kushtia,Kushtia N/A,Bheramara,Bheramara Paurashava,,0
24358,Khoksha Mun.,Khoksha Mun.,10024770,,Upazila Level Office,Khulna,Kushtia,Kushtia N/A,Khoksa,Khoksa Paurashava,,0
24359,Mirp Mun.ur,Mirpur Mun.,10024771,,Upazila Level Office,Khulna,Kushtia,Kushtia N/A,Mirpur,Mirpur Paurashava,,0
24360,Gangni Mun.,Gangni Mun.,10024772,,Upazila Level Office,Khulna,Meherpur,Meherpur N/A,Gangni,Gangni Paurashava,,0
24361,Kalia Mun.,Kalia Mun.,10024773,,Upazila Level Office,Khulna,Narail,Narail N/A,Kalia,Kalia Paurasava,,0
24362,Lohagara Mun.,Lohagara Mun.,10024774,,Upazila Level Office,Khulna,Narail,Narail N/A,Lohagara,Lohagara Paurasava,,0
24363,Gopalganj Mun.,Gopalganj Mun.,10024775,,Upazila Level Office,Dhaka,Gopalganj,Gopalganj N/A,Gopalganj Sadar,Gopalganj Paurashava,,0
24364,Kotaliparan Mun.,Kotaliparan Mun.,10024776,,Upazila Level Office,Dhaka,Gopalganj,Gopalganj N/A,Kotalipara,Kotalipara Paurashava,,0
24365,Muksudpur Nun.,Muksudpur Mun.,10024777,,Upazila Level Office,Dhaka,Gopalganj,Gopalganj N/A,Muksudpur,Muksudpur Paurashava,,0
24366,Tungipara Mun.,Tungipara Mun.,10024778,,Upazila Level Office,Dhaka,Gopalganj,Gopalganj N/A,Tungipara,Tungipara Paurashava,,0
24367,Darshana Mun.,Kotaliparan Mun.,10024779,,Upazila Level Office,Khulna,Chuadanga,Chuadanga N/A,Damurhuda,Darshana Paurasava,,0
24368,Jibannagar Mun.,Jibannagar Mun.,10024780,,Upazila Level Office,Khulna,Chuadanga,Chuadanga N/A,Jibannagar,Jiban Nagar Paurasava,,0
24369,Bakerganj Mun.,Bakerganj Mun.,10024781,,Upazila Level Office,Barishal,Barishal,Barishal N/A,Bakerganj,Bakerganj Paurasava,,0
24370,Banaripara Mun.,Banaripara Mun.,10024782,,Upazila Level Office,Barishal,Barishal,Barishal N/A,Banaripara,Banari Para Paurasava,,0
24371,Mehendiganj Mun.,Mehendiganj Mun.,10024783,,Upazila Level Office,Barishal,Barishal,Barishal N/A,Mehendiganj,Mhendiganj Paurasava,,0
24372,Muladi Mun.,Muladi Mun.,10024784,,Upazila Level Office,Barishal,Barishal,Barishal N/A,Muladi,Muladi Paurashava,,0
24373,Wazirpur Mun.,Wazirpur Mun.,10024785,,Upazila Level Office,Barishal,Barishal,Barishal N/A,Wazirpur,Unions Of Wazirpur Upazila,,0
24374,Bhola Mun.,Bhola Mun.,10024786,,Upazila Level Office,Barishal,Bhola,Bhola N/A,Bhola Sadar,Bhola Paurasava,,0
24375,Charfassion Mun.,Charfassion Mun.,10024787,,Upazila Level Office,Barishal,Bhola,Bhola N/A,Charfession,Char Fasson Paurasava,,0
24376,Daulatkhan Mun.,Daulatkhan Mun.,10024788,,Upazila Level Office,Barishal,Bhola,Bhola N/A,Daulatkhan,Daulatkhan Paurasava,,0
24377,Nalchity Mun.,Nalchity Mun.,10024789,,Upazila Level Office,Barishal,Jhalokathi,Jhalokati N/A,Nalchity,Nalchity Paurasava,,0
24378,Bauphal Mun.,Bauphal Mun.,10024790,,Upazila Level Office,Barishal,Patuakhali,Patuakhali N/A,Bauphal,Bauphal Paurashava,,0
24379,Galachipa Min.,Galachipa Min.,10024791,,Upazila Level Office,Barishal,Patuakhali,Patuakhali N/A,Galachipa,Galachipa Paurasava,,0
24380,Kalapara Mun.,Kalapara Mun.,10024792,,Upazila Level Office,Barishal,Patuakhali,Patuakhali N/A,Kalapara,Kalapara Paurasava,,0
24381,Kuakata Mun.,Kuakata Mun.,10024793,,Upazila Level Office,Barishal,Patuakhali,,,,,0
24382,Patuakhali Sadar Mun.,Patuakhali Sadar Mun.,10024794,,Upazila Level Office,Barishal,Patuakhali,Patuakhali N/A,Patuakhali Sadar,Patuakhali Paurashava,,0
24383,Bhandaria Mun.,Bhandaria Mun.,10024795,,Upazila Level Office,Barishal,Pirojpur,Pirojpur N/A,Bhandaria,,,0
24384,Betagi Mun.,Betagi Mun.,10024796,,Upazila Level Office,Barishal,Barguna,Barguna N/A,Betagi,Betagi Paurasava,,0
24385,Patharghata Mun.,Patharghata Mun.,10024797,,Upazila Level Office,Barishal,Barguna,Barguna N/A,Patharghata,Patharghata Paurasava,,0
24386,Manohardi Mun.,Manohardi Mun.,10024798,,Upazila Level Office,Dhaka,Narsingdi,Narsingdi N/A,Manohardi,Manohardi Paurashava,,0
24387,Raipur Mun.,Raipur Mun.,10024799,,Upazila Level Office,Dhaka,Narsingdi,Narsingdi N/A,Roypura,Roypura Paurashava,,0
24388,Shibpur Mun.,Shibpur Mun.,10024800,,Upazila Level Office,Dhaka,Narsingdi,Narsingdi N/A,Shibpur,Shibpur Paurashava,,0
24389,Nakla Mun.,Nakla Mun.,10024801,,Upazila Level Office,Mymensingh,Sherpur,,Nakla,Nakla Paurashava,,0
24390,Nalitabari Mun.,Nalitabari Mun.,10024802,,Upazila Level Office,Mymensingh,Sherpur,,Nalitabari,Nalitabari Paurashava,,0
24391,Sreebnardi Mun.,Sreebnardi Mun.,10024803,,Upazila Level Office,Mymensingh,Sherpur,,Sreebardi,Sreebardi Paurashava,,0
24392,Durgapur Mun.,Durgapur Mun.,10024804,,Upazila Level Office,Mymensingh,Netrakona,,Durgapur,Durgapur Paurasava,,0
24393,Kendua Mun.,Kendua Mun.,10024805,,Upazila Level Office,Mymensingh,Netrakona,,Kendua,Kendua Paurasava,,0
24395,Basail Mun.,Basail Mun.,10024807,,Upazila Level Office,Dhaka,Tangail,Tangail N/A,Basail,Basail Paurashava,,0
24396,Bhuapur Mun.,Bhuapur Mun.,10024808,,Upazila Level Office,Dhaka,Tangail,Tangail N/A,Bhuapur,Bhuapur Paurashava,,0
24397,Dhanbari Mun.,Dhanbari Mun.,10024809,,Upazila Level Office,Dhaka,Tangail,Tangail N/A,Dhanbari,Dhanbari Paurasava,,0
24398,Elenga Mun.,Elenga Mun.,10024810,,Upazila Level Office,Dhaka,Tangail,Tangail N/A,Kalihati,Elenga Paurashava,,0
24399,Gopalpur Mun.,Gopalpur Mun.,10024811,,Upazila Level Office,Dhaka,Tangail,Tangail N/A,Gopalpur,Gopalpur Paurashava,,0
24400,Kalihati Mun.,Kalihati Mun.,10024812,,Upazila Level Office,Dhaka,Tangail,Tangail N/A,Kalihati,Kalihati Paurashava,,0
24401,Mirzapur Mun.,Mirzapur Mun.,10024813,,Upazila Level Office,Dhaka,Tangail,Tangail N/A,Mirzapur,Mirzapur Paurashava,,0
24402,Kaliganj (GP) Mun.,Kaliganj (GP) Mun.,10024814,,Upazila Level Office,Dhaka,Gazipur,Gazipur N/A,Kaliganj,Kaliganj Paurashava,,0
24403,"Khan Bari Community Clinic , Muladi","খাঁন বাড়ী কমিউনিটি ক্লিনিক, মুলাদী।",10024815,DGHS,Community Clinic,Barishal,Barishal,Barishal N/A,Muladi,Unions Of Muladi Upazila,Kazir Char,0
24404,"Char Batamara Community Clinic , Muladi","চর বাটামারা কমিউনিটি ক্লিনিক, মুলাদী।",10024816,DGHS,Community Clinic,Barishal,Barishal,Barishal N/A,Muladi,Unions Of Muladi Upazila,Batamara,0
24405,"Jalalpur Community Clinic , Muladi",জালালপুর কমিউনিটি ক্লিনিক- মুলাদী।,10024817,DGHS,Community Clinic,Barishal,Barishal,Barishal N/A,Muladi,Unions Of Muladi Upazila,Nazirpur,0
24406,"Ramarpol Community Clinic , Muladi","রামারপুল কমিউনিটি ক্লিনিক, মুলাদী।",10024818,DGHS,Community Clinic,Barishal,Barishal,Barishal N/A,Muladi,Unions Of Muladi Upazila,Nazirpur,0
24407,Alfadanga Municipality,Alfadanga Municipality,10024819,,Upazila Level Office,Dhaka,Faridpur,Faridpur N/A,Alfadanga,,,0
24408,Bhanga Municipality,Bhanga Municipality,10024820,,Upazila Level Office,Dhaka,Faridpur,Faridpur N/A,Bhanga,Bhanga Paurashava,,0
24409,Boalmari Municipality,Boalmari Municipality,10024821,,Upazila Level Office,Dhaka,Faridpur,Faridpur N/A,Boalmari,Boalmari Paurashava,,0
24410,Madhukhali Municipality,Madhukhali Municipality,10024822,,Upazila Level Office,Dhaka,Faridpur,Faridpur N/A,Madhukhali,Madhukhali Paurasava,,0
24411,Nagarkanda Municipality,Nagarkanda Municipality,10024823,,Upazila Level Office,Dhaka,Faridpur,Faridpur N/A,Nagarkanda,Nagarkanda Paurashava,,0
24412,Kalkini Municipality,Kalkini Municipality,10024824,,Upazila Level Office,Dhaka,Madaripur,Madaripur N/A,Kalkini,Kalkini Paurashava,,0
